id,name,schulform,street,plz,stadt,traeger,standorttyp,lat,lon
61,Gymnasium Wanne,Gymnasium,Gerichtsstr. 9/11,44649,Herne,Stadt Herne,5,51.5289320668,7.15797187157
62,Realschule An der Burg,Realschule,Burgstr. 71,44651,Herne,Stadt Herne,5,51.514745231,7.16913697874
63,Realschule Crange,Realschule,Semler Str. 4,44649,Herne,Stadt Herne,5,51.5400213002,7.15276155135
64,realschule Strünkede,Realschule,Bismarckstr. 41,44629,Herne,Stadt Herne,5,51.5461940612,7.2127300641
65,Fasia-Jansen-Gesamtschule,Gesamtschule,Schwartzstraße 87,46045,Oberhausen,Stadt Oberhausen,5,51.4735005596,6.86263355668
66,Heinrich-Böll-Gesamtschule,Gesamtschule,Schmachtendorfer Straße 165,46147,Oberhausen,Stadt Oberhausen,3,51.5432154026,6.81860222579
67,Gesamtschule Osterfeld,Gesamtschule,Heinestr. 22,46117,Oberhausen,Stadt Oberhausen,5,51.5035052899,6.88774163764
68,Gesamtschule Weierheide,Gesamtschule,Egelsfurthstr. 66,46149,Oberhausen,Stadt Oberhausen,4,51.5172450602,6.82927283244
69,Anne-Frank-Realschule,Realschule,Goebenstr. 140,46045,Oberhausen,Stadt Oberhausen,5,51.4667252481,6.85129538915
70,Janusz-Korczak-Gesamtschule,Gesamtschule,Horster Straße 114,46236,Bottrop,Stadt Bottrop,5,51.5268461982,6.93654020417
71,Willy-Brandt-Gesamtschule,Gesamtschule,Brömerstraße 12,46240,Bottrop,Stadt Bottrop,4,51.543289185,6.9293531683
72,Hauptschule Welheim,Hauptschule,Welheimer Str. 80-82,46238,Bottrop,Stadt Bottrop,5,51.5269957256,6.97877845757
73,Vestisches Gymnasium,Gymnasium,Schulstraße 25,46244,Bottrop,Stadt Bottrop,1,51.6063836176,6.91954057201
74,August-Everding-Realschule,Realschule,Gorch-Fock-Straße 21,46242,Bottrop,Stadt Bottrop,3,51.5336178798,6.89582152169
75,Gustav-Heinemann-Realschule,Realschule,Paßstraße 12,46236,Bottrop,Stadt Bottrop,4,51.5226754245,6.93204565045
76,Marie-Curie-Realschule,Realschule,Friedrich-Ebert-Str. 120/124,46236,Bottrop,Stadt Bottrop,4,51.5208516463,6.931936375
77,Hans-Jonas-Gesamtschule Neuwerk,Gesamtschule,Nespelerstr. 75,41066,Mönchengladbach,Stadt Mönchengladbach,4,51.2207241685,6.46667629787
78,Gesamtschule Hardt,Gesamtschule,Vossenbäumchen 50,41169,Mönchengladbach,Stadt Mönchengladbach,2,51.1993476627,6.34838461667
79,Gesamtschule Rheydt-Mülfort,Gesamtschule,Realschulstraße 14,41238,Mönchengladbach,Stadt Mönchengladbach,4,51.1526030033,6.45646987521
80,Gesamtschule Stadtmitte,Gesamtschule,Aachener Straße 179,41061,Mönchengladbach,Stadt Mönchengladbach,4,51.1902416168,6.42222556251
81,Gemeinschaftshauptschule Dohr,Hauptschule,Altenbroicher Straße 50-52,41238,Mönchengladbach,Stadt Mönchengladbach,5,51.1538164837,6.4633281636
82,Heinrich-Lersch-Schule,Hauptschule,Rohrstraße 43,41065,Mönchengladbach,Stadt Mönchengladbach,5,51.1991120148,6.46072077931
83,Gymnasium Am Geroweiher,Gymnasium,Balderichstr. 8,41061,Mönchengladbach,Stadt Mönchengladbach,4,51.1937656521,6.42705004202
84,Gymnasium An der Gartenstraße,Gymnasium,Gartenstr. 154,41236,Mönchengladbach,Stadt Mönchengladbach,4,51.1744105301,6.44694738815
85,Franz-Meyers-Gymnasium,Gymnasium,Asternweg 1,41238,Mönchengladbach,Stadt Mönchengladbach,3,51.1570196299,6.48472967019
86,Bischöfliche Marienschule,Gymnasium,Viersener Straße 209,41063,Mönchengladbach,Bistum Aachen,3,51.2052188489,6.42413680884
87,Gymnasium Rheindahlen,Gymnasium,Geusenstraße 29,41179,Mönchengladbach,Stadt Mönchengladbach,2,51.1500137539,6.36727818497
88,Stiftisches Humanistisches Gymnasium,Gymnasium,Abteistr. 17,41061,Mönchengladbach,Stadt Mönchengladbach,2,51.1930290296,6.43425297489
89,Realschule an der Niers,Realschule,GiesenkirchenerStr. 8,41238,Mönchengladbach,Stadt Mönchengladbach,5,51.151516854,6.45608755977
90,Geschwister-Scholl-Realschule,Realschule,Karl-Fegers-Straße 85,41068,Mönchengladbach,Stadt Mönchengladbach,4,51.2013203513,6.40824816924
91,Realschule Wickrath,Realschule,Kreuzhütte 24,41189,Mönchengladbach,Stadt Mönchengladbach,4,51.1267349988,6.40733304249
92,Janusz-Korczak-Gesamtschule,Gesamtschule,Waldenburger Straße 130,44581,Castrop-Rauxel,Stadt Castrop-Rauxel,3,51.5991067373,7.33156599206
93,Willy-Brandt-Gesamtschule,Gesamtschule,Bahnhofstraße 160,44575,Castrop-Rauxel,Stadt Castrop-Rauxel,4,51.5637227508,7.3104423581
94,Fridtjof-Nansen-Realschule,Realschule,Lange Straße 18,44579,Castrop-Rauxel,Stadt Castrop-Rauxel,3,51.5833145984,7.30670642509
95,Johannes-Rau-Realschule,Realschule,Kleine Lönsstraße 60,44575,Castrop-Rauxel,Stadt Castrop-Rauxel,4,51.551742746,7.30463359733
96,Comenius-Gymnasium,Gymnasium,Südring 150,45711,Datteln,Stadt Datteln,2,51.6486851446,7.33494006497
97,Gesamtschule Wulfen,Gesamtschule,Wulfener Markt 2,46286,Dorsten,Stadt Dorsten,3,51.7272790896,7.02851638018
98,Gymnasium Petrinum,Gymnasium,Im Werth 17,46282,Dorsten,Stadt Dorsten,2,51.6652039001,6.96310906686
99,Gymnasium St. Ursula ,Gymnasium,Ursulastr. 8-10,46282,Dorsten,Stiftung St. Ursula Dorsten,2,51.661288826,6.96593097982
100,Montessori Reformschule,Realschule,Kleiner Ring 2,46286,Dorsten,Montessori-Schule Dorsten/Lembeck e.V.,2,51.7214450664,7.01724082687
101,Realschule St. Ursula,Realschule,Nonnenkamp 14,46282,Dorsten,Stiftung St. Ursula Dorsten,2,51.6533222778,6.95641254302
102,Ingeborg-Drewitz-Gesamtschule,Gesamtschule,Fritz-Erler-Str. 4,45966,Gladbeck,Stadt Gladbeck,5,51.5826939301,6.96172413012
103,Anne-Frank-Realschule,Realschule,Kortestr. 13,45964,Gladbeck,Stadt Gladbeck,4,51.5687579862,6.98281937015
104,Erich-Kästner-Realschule,Realschule,Kortenkamp 11,45968,Gladbeck,Stadt Gladbeck,4,51.5436738484,7.0121325214
105,Werner-von-Siemens-Realschule,Realschule,Kortestr. 10,45964,Gladbeck,Stadt Gladbeck,4,51.5700736734,6.98241504176
106,Rosa-Parks-Schule,Gesamtschule,Fritz-Erler-Str. 2,45701,Herten,Stadt Herten,5,51.6090225426,7.13743092476
107,Martin-Luther-Schule,Hauptschule,Martin-Luther-Str. 3,45701,Herten,Stadt Herten,4,51.608956528,7.08846263019
108,Theodor-Heuss-Schule,Hauptschule,Fritz-Erler-Straße 2,45701,Herten,Stadt Herten,5,51.6088775041,7.13755722275
109,Erich-Klausener-Schule,Realschule,Ebbelicher Weg 19,45699,Herten,Bistum Münster,3,51.6006400658,7.12960066457
110,Willy-Brandt-Schule,Realschule,Ernst-Reuter-Platz 10-20,45699,Herten,Stadt Herten,4,51.5999208031,7.13334984847
111,Martin-Luther-Schule,Sekundarschule,Martin-Luther-Str. 3,45701,Herten,Stadt Herten,4,51.608956528,7.08846263019
112,Martin-Luther-King-Schule,Gesamtschule,Georg-Herwegh-Str. 63-67,45772,Marl,Stadt Marl,5,51.6632477941,7.14591388371
113,Albert-Schweitzer/Geschwister Scholl-Gymnasium,Gymnasium,Max-Planck-Str. 23,45768,Marl,Stadt Marl,3,51.6624868973,7.09856130317
114,Gymnasium Im Loekamp,Gymnasium,Loekampstr. 80,45770,Marl,Stadt Marl,2,51.6608098994,7.12755560806
115,Ernst-Immel-Realschule,Realschule,Droste-Hülshoff-Str. 36,45772,Marl,Stadt Marl,4,51.6621981081,7.13646412776
116,Günther-Eckerland-Realschule,Realschule,Merkelheider Weg 21,45772,Marl,Stadt Marl,4,51.6893911031,7.12491064842
117,Willy-Brandt-Gymnasium,Gymnasium,Christoph-Stöver-Straße 4,45739,Oer-Erkenschwick,Stadt Oer-Erkenschwick,3,51.6384749211,7.25585434687
118,Christoph-Stöver-Schule,Realschule,Christoph-Stöver-Str. 2,45739,Oer-Erkenschwick,Stadt Oer-Erkenschwick,3,51.6389457801,7.2572107981
119,Wolfgang-Borchert-Gesamtschule,Gesamtschule,Beisinger Weg 80,45657,Recklinghausen,Stadt Recklinghausen,4,51.6243752704,7.18907994544
120,Marie-Curie-Gymnasium,Gymnasium,Görresstr. 5,45657,Recklinghausen,Stadt Recklinghausen,3,51.6191888437,7.20144876714
121,Theodor-Heuss-Gymnasium,Gymnasium,Theodor-Körner-Str. 25,45661,Recklinghausen,Stadt Recklinghausen,4,51.5721153145,7.20940987105
122,Dietrich-Bonhoeffer-Schule,Realschule,Hunsrückstr. 15,45665,Recklinghausen,Stadt Recklinghausen,4,51.6148099416,7.20772910729
123,Maristenschule,Realschule,Hertener Str. 60,45657,Recklinghausen,Bistum Münster,3,51.610071417,7.18584772201
124,Theodor-Heuss-Gymnasium,Gymnasium,Theodor-Heuss-Str. 1,45731,Waltrop,Stadt Waltrop,2,51.6205704832,7.4011448827
125,Gesamtschule Berger Feld,Gesamtschule,Adenauerallee 110,45891,Gelsenkirchen,Stadt Gelsenkirchen,5,51.5571102824,7.07198299538
126,Gesamtschule Buer-Mitte,Gesamtschule,Nollenpad 29,45894,Gelsenkirchen,Stadt Gelsenkirchen,4,51.577768931,7.04370364082
